RegionName,StateName,2023
"Vineyard Haven, MA",MA,2366667.0
"Edwards, CO",CO,1978833.0
"Hailey, ID",ID,1545000.0
"Jackson, WY",WY,1496333.0
"Santa Maria, CA",CA,1451750.0
"San Jose, CA",CA,1399498.0
"Glenwood Springs, CO",CO,1380833.0
"Kapaa, HI",HI,1356500.0
"Kahului, HI",HI,1323333.0
"Napa, CA",CA,1303000.0
"Steamboat Springs, CO",CO,1302500.0
"Key West, FL",FL,1298333.0
"Heber, UT",UT,1281333.0
"Santa Cruz, CA",CA,1241333.0
"Salinas, CA",CA,1161500.0
"Breckenridge, CO",CO,1069000.0
"San Francisco, CA",CA,1020833.0
"Los Angeles, CA",CA,998967.0
"San Luis Obispo, CA",CA,961666.0
"San Diego, CA",CA,959667.0
"Oxnard, CA",CA,949633.0
"Bozeman, MT",MT,924667.0
"Santa Rosa, CA",CA,910849.0
"Boulder, CO",CO,868325.0
"Gardnerville Ranchos, NV",NV,866721.0
"Santa Fe, NM",NM,812483.0
"Barnstable Town, MA",MA,799667.0
"Fredericksburg, TX",TX,795333.0
"Urban Honolulu, HI",HI,778333.0
"Boston, MA",MA,768267.0
"Durango, CO",CO,763317.0
"Bend, OR",OR,762483.0
"Hood River, OR",OR,760983.0
"Naples, FL",FL,760263.0
"Seattle, WA",WA,742650.0
"Sandpoint, ID",ID,732333.0
"Truckee, CA",CA,722317.0
"Bridgeport, CT",CT,719967.0
"Kalispell, MT",MT,714633.0
"Ellensburg, WA",WA,710833.0
"Flagstaff, AZ",AZ,703117.0
"Ocean City, NJ",NJ,699933.0
"Oak Harbor, WA",WA,695000.0
"Montrose, CO",CO,689500.0
"Kill Devil Hills, NC",NC,679633.0
"Los Alamos, NM",NM,678333.0
"New York, NY",NY,675997.0
"Easton, MD",MD,665750.0
"Crestview, FL",FL,655833.0
"Coeur d'Alene, ID",ID,654117.0
"Sevierville, TN",TN,646300.0
"Bellingham, WA",WA,646167.0
"St. George, UT",UT,643300.0
"Reno, NV",NV,638333.0
"Denver, CO",CO,634250.0
"Missoula, MT",MT,629667.0
"Sacramento, CA",CA,629633.0
"Mount Vernon, WA",WA,614825.0
"Hudson, NY",NY,614667.0
"Wenatchee, WA",WA,611300.0
"Vallejo, CA",CA,598815.0
"Spearfish, SD",SD,598333.0
"Fort Collins, CO",CO,597333.0
"Portland, OR",OR,593333.0
"Ukiah, CA",CA,591667.0
"Bremerton, WA",WA,590333.0
"Salt Lake City, UT",UT,589817.0
"Prescott Valley, AZ",AZ,586667.0
"Hilton Head Island, SC",SC,586333.0
"Hilo, HI",HI,583833.0
"Port Angeles, WA",WA,582325.0
"Taos, NM",NM,581333.0
"Astoria, OR",OR,581250.0
"Portland, ME",ME,577750.0
"Boise City, ID",ID,575217.0
"Kerrville, TX",TX,573000.0
"Newport, OR",OR,568125.0
"Washington, DC",VA,564667.0
"Riverside, CA",CA,564633.0
"Provo, UT",UT,561650.0
"Cullowhee, NC",NC,561217.0
"Stockton, CA",CA,559823.0
"Corvallis, OR",OR,559150.0
"Miami, FL",FL,550000.0
"Prineville, OR",OR,546217.0
"Austin, TX",TX,546000.0
"Sheridan, WY",WY,545333.0
"Helena, MT",MT,539667.0
"Brookings, OR",OR,538800.0
"Morehead City, NC",NC,537450.0
"Olympia, WA",WA,532733.0
"Nashville, TN",TN,531333.0
"North Port, FL",FL,531333.0
"Rexburg, ID",ID,529667.0
"Ogden, UT",UT,528300.0
"Greeley, CO",CO,521633.0
"Bennington, VT",VT,517167.0
"Walla Walla, WA",WA,516333.0
"Laconia, NH",NH,516150.0
"Medford, OR",OR,511333.0
"Carson City, NV",NV,506875.0
"Phoenix, AZ",AZ,504633.0
"Colorado Springs, CO",CO,501785.0
"Stephenville, TX",TX,499648.0
"Kingston, NY",NY,499600.0
"Charleston, SC",SC,498423.0
"Modesto, CA",CA,494833.0
"Madera, CA",CA,494133.0
"Wilmington, NC",NC,494000.0
"Juneau, AK",AK,490317.0
"Shelton, WA",WA,489650.0
"Moscow, ID",ID,489150.0
"Payson, AZ",AZ,485167.0
"Brevard, NC",NC,485000.0
"Sonora, CA",CA,484600.0
"Providence, RI",RI,484117.0
"Eureka, CA",CA,479000.0
"Salem, OR",OR,478233.0
"Eugene, OR",OR,476300.0
"Grants Pass, OR",OR,475000.0
"Daphne, AL",AL,473000.0
"Kennewick, WA",WA,472667.0
"Centralia, WA",WA,472583.0
"Salisbury, MD",DE,471600.0
"Spirit Lake, IA",IA,470300.0
"Logan, UT",UT,468200.0
"Spokane, WA",WA,467992.0
"Charlottesville, VA",VA,466667.0
"Brenham, TX",TX,466167.0
"Torrington, CT",CT,463800.0
"Gainesville, TX",TX,462467.0
"Manchester, NH",NH,461667.0
"Yuba City, CA",CA,459233.0
"Raleigh, NC",NC,457007.0
"Grand Junction, CO",CO,455000.0
"Traverse City, MI",MI,454667.0
"Billings, MT",MT,453633.0
"Burlington, VT",VT,453000.0
"Las Vegas, NV",NV,450000.0
"Worcester, MA",MA,449950.0
"Crescent City, CA",CA,449117.0
"Pittsfield, MA",MA,449000.0
"Show Low, AZ",AZ,446633.0
"Asheville, NC",NC,446333.0
"Ruidoso, NM",NM,444750.0
"Dallas, TX",TX,440000.0
"Concord, NH",NH,439633.0
"Poughkeepsie, NY",NY,439333.0
"Boone, NC",NC,438950.0
"Barre, VT",VT,437833.0
"Idaho Falls, ID",ID,437083.0
"Merced, CA",CA,436498.0
"Orlando, FL",FL,436167.0
"Port St. Lucie, FL",FL,435583.0
"Pullman, WA",WA,435467.0
"Pinehurst, NC",NC,434633.0
"Blackfoot, ID",ID,434000.0
